Protein accession	Protein description	Gene name	MW [kDa]	Score	Coverage [%]	Peptides	Unique peptides	PSMs	A	B	C	A/B Ratio	A/B P value
A0AV96	RNA-binding protein 47	RBM47	64.098	9.5109	6.9	3	3	3	0.998	1.072	0.936	0.931	1.57E-01
A0AVT1	Ubiquitin-like modifier-activating enzyme 6	UBA6	117.97	32.733000000000004	8.7	8	8	10	0.799	1.178	1.11	0.678	1.06E-08
A0FGR8	Extended synaptotagmin-2	ESYT2	102.36	180.16	24.3	17	17	28	1.177	0.942	0.861	1.249	1.49E-09
A0MZ66	Shootin-1	KIAA1598	71.639	76.652	27.9	18	18	30	0.829	1.118	1.062	0.742	4.62E-09
A0PJW6	Transmembrane protein 223	TMEM223	22.049	2.9367	9.9	2	2	3	1.226	0.929	0.824	1.32	
A1L0T0	Acetolactate synthase-like protein	ILVBL	67.867	33.603	11.2	6	6	13	1.208	0.889	0.934	1.36	4.44E-05
A1L390	Pleckstrin homology domain-containing family G member 3	PLEKHG3	134.41	11.949000000000002	4.6	6	6	6	1.022	0.928	1.056	1.1	3.10E-01
A2A2Y4	FERM domain-containing protein 3	FRMD3	68.771	1.6693	2.5	1	1	1	0.76	1.155	1.121	0.658	
A2RRP1	Neuroblastoma-amplified sequence	NBAS	268.57	15.707	1.0	2	2	2	1.144	0.907	0.94	1.261	
A2RTX5	Probable threonine--tRNA ligase 2, cytoplasmic	TARSL2	92.64399999999999	1.6573	2.1	2	1	1					
A2VDF0	Fucose mutarotase	FUOM	16.765	6.4493	10.4	1	1	1	0.965	1.184	0.857	0.815	
A3KMH1	von Willebrand factor A domain-containing protein 8	VWA8	214.82	48.81399999999999	7.9	14	14	17	1.191	0.926	0.885	1.286	4.10E-08
A3KN83	Protein strawberry notch homolog 1	SBNO1	154.31	135.04	14.8	16	15	18	0.876	1.048	1.085	0.836	2.29E-05
A4D1E9	GTP-binding protein 10	GTPBP10	42.931999999999995	72.154	22.0	7	7	7	1.21	0.905	0.885	1.337	1.96E-05
A4D1P6	WD repeat-containing protein 91	WDR91	83.34299999999999	2.5745	2.1	2	2	2					
A4D1S0	Killer cell lectin-like receptor subfamily G member 2	KLRG2	42.85	3.6112	6.6	2	2	2					
A4UGR9	Xin actin-binding repeat-containing protein 2	XIRP2	382.3	2.8482	0.4	2	2	2	0.889	1.174	0.955	0.757	2.89E-01
A5D8V6	Vacuolar protein sorting-associated protein 37C	VPS37C	38.658	3.7195	3.4	1	1	1	0.968	1.034	1.009	0.936	
A5PLL7	Transmembrane protein 189	TMEM189	31.135	23.933000000000003	8.9	2	2	2	1.261	0.835	0.88	1.51	
A5PLN9	Trafficking protein particle complex subunit 13	TRAPPC13	46.523	3.5339	4.1	2	2	2	0.846	1.224	0.952	0.691	
A5YKK6	CCR4-NOT transcription complex subunit 1	CNOT1	266.94	90.49799999999999	8.9	19	19	22	0.929	1.076	1.057	0.863	7.59E-05
Q9GZQ8	Microtubule-associated proteins 1A/1B light chain 3B	MAP1LC3B	14.687999999999999	5.058	11.2	1	1	1					
A6NDG6	Phosphoglycolate phosphatase	PGP	34.006	39.805	10.6	3	3	6	0.722	1.129	1.191	0.64	1.59E-02
A6NDR6	Putative homeobox protein Meis3-like 1	MEIS3P1	30.204	1.8031	2.9	1	1	1	1.207	0.931	0.843	1.296	
A6NDU8	UPF0600 protein C5orf51	C5orf51	33.62	4.5374	7.1	2	2	2	0.593	1.342	1.118	0.442	
A6NED2	RCC1 domain-containing protein 1	RCCD1	40.078	8.2408	14.6	3	3	3	0.768	1.228	1.036	0.625	4.11E-02
A6NGH7	Coiled-coil domain-containing protein 160	CCDC160	38.275999999999996	1.8553	2.2	1	1	1	0.764	0.909	1.369	0.84	
A6NGU5	Putative gamma-glutamyltranspeptidase 3	GGT3P	61.501000000000005	11.892000000000001	5.8	3	3	3	0.937	1.113	0.962	0.842	
A6NHL2	Tubulin alpha chain-like 3	TUBAL3	49.908	33.876	10.3	5	1	1	0.574	1.308	1.176	0.439	
A6NHQ2	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1	FBLL1	34.803000000000004	1.5472	3.3	1	1	1					
A6NHR9	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	226.37	184.66	17.8	30	30	42	1.136	0.924	0.913	1.229	6.26E-11
