Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Fraction 13	Fraction 14	Fraction 15	Fraction 16	Fraction 17	Fraction 18	Q-value	Score	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity not corrected 0	Reporter intensity not corrected 1	Reporter intensity not corrected 2	Reporter intensity not corrected 3	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Intensity	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A0AV96;Q8TBY0	A0AV96	3;1	3;1	3;1	RNA-binding protein 47	RBM47	>sp|A0AV96|RBM47_HUMAN RNA-binding protein 47 OS=Homo sapiens GN=RBM47 PE=1 SV=2	2	3	3	3	6.9	6.9	6.9	64.098	593	593;533	5.33			1		1			1											0	9.5109	17231	16738	14927	17550	17231	16738	14927	17550	2	2	2	2	118180000	3				0	11402;25624;37128	True;True;True	11910;26962;39050	18271;41666;60010	18774;42739;61585	18774;42739;61585		
A0AVT1	A0AVT1	8	8	8	Ubiquitin-like modifier-activating enzyme 6	UBA6	>sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens GN=UBA6 PE=1 SV=1	1	8	8	8	8.7	8.7	8.7	117.97	1052	1052	12.7	1								2			1			3		3		0	32.733	35324	49950	45702	50097	35324	49950	45702	50097	9	9	9	9	846990000	10				1	1528;6731;12786;18460;24824;26967;37926;38842	True;True;True;True;True;True;True;True	1590;7034;13356;19290;26128;28383;39882;40830	2520;10858;20581;20582;30067;40374;40375;43850;61293;62750	2611;11158;21127;21128;30893;41418;41419;44983;62916;64398	2611;11158;21127;30893;41418;44983;62916;64398		
A0FGR8	A0FGR8	17	17	17	Extended synaptotagmin-2	ESYT2	>sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens GN=ESYT2 PE=1 SV=1	1	17	17	17	24.3	24.3	24.3	102.36	921	921	9.54	2	3			2	2	1	1			3	4	3	6				1	0	180.16	148550	106190	101200	114830	148550	106190	101200	114830	19	19	19	19	4166800000	28				2	463;2864;8527;8709;10693;12417;13779;15547;16897;19999;21198;21199;25583;26114;35977;36863;37169	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	480;2994;8909;9099;11168;12975;14386;16243;17664;20877;22120;22121;26921;27485;37827;38759;39093	741;742;4655;4656;13721;13988;13989;13990;17153;19987;22152;25415;27717;32430;32431;32432;34334;34335;34336;41596;41597;42480;58040;59543;59544;60064;60065;60066	767;768;4793;4794;14109;14379;14380;14381;17622;20526;22748;26116;28510;33294;33295;33296;35230;35231;35232;42668;42669;43588;59551;61101;61102;61639;61640;61641	767;4794;14109;14381;17622;20526;22748;26116;28510;33296;35230;35232;42668;43588;59551;61102;61639		
A0MZ66	A0MZ66	18	18	18	Shootin-1	KIAA1598	>sp|A0MZ66|SHOT1_HUMAN Shootin-1 OS=Homo sapiens GN=SHTN1 PE=1 SV=4	1	18	18	18	27.9	27.9	27.9	71.639	631	631	11.3			1	2	1	3	2	1		1	2	2	4	1	4	2	3	1	0	76.652	144830	171220	152200	166300	144830	171220	152200	166300	22	22	22	22	2806700000	30				3	1814;3371;5730;5731;8149;8728;11401;12225;14633;15872;17940;18972;23261;31299;33695;34820;37615;39317	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1887;3526;5995;5996;8503;9118;11909;12775;15285;16580;18750;19817;24269;32892;35423;36616;39554;41325	2968;5472;9216;9217;9218;13118;14015;18269;18270;19683;19684;23800;23801;23802;25955;25956;29331;30799;37498;37499;37500;50414;50415;54371;54372;56152;56153;60732;60733;63530	3066;5643;9488;9489;9490;13493;14406;18772;18773;20216;20217;24461;24462;24463;26692;26693;30139;31633;38478;38479;38480;51687;51688;55775;55776;57592;57593;62312;62313;65207	3066;5643;9488;9489;13493;14406;18772;20217;24462;26693;30139;31633;38479;51688;55776;57593;62313;65207		
A0PJW6	A0PJW6	2	2	2	Transmembrane protein 223	TMEM223	>sp|A0PJW6|TM223_HUMAN Transmembrane protein 223 OS=Homo sapiens GN=TMEM223 PE=1 SV=1	1	2	2	2	9.9	9.9	9.9	22.049	202	202	16.7																1	2		0.00060217	2.9367	8034	5508	4746	6222.8	8034	5508	4746	6222.8	1	1	1	1	143490000	3				4	11659;20029	True;True	12177;20907	18682;18683;32478	19189;19190;33343	19190;33343		
A1L0T0	A1L0T0	6	6	6	Acetolactate synthase-like protein	ILVBL	>sp|A1L0T0|ILVBL_HUMAN Acetolactate synthase-like protein OS=Homo sapiens GN=ILVBL PE=1 SV=2	1	6	6	6	11.2	11.2	11.2	67.867	632	632	7.77		1	2				1	3	2	2		2							0	33.603	60131	39298	41261	46239	60131	39298	41261	46239	6	6	6	6	1166200000	13				5	402;4680;5004;11283;25225;36651	True;True;True;True;True;True	418;4896;5230;11786;26548;38541	644;7521;8044;18078;18079;41021;41022;41023;41024;41025;59210;59211;59212	666;7739;8274;18565;18566;42087;42088;42089;42090;42091;60762;60763;60764	666;7739;8274;18565;42090;60762		
A1L390	A1L390	6	6	6	Pleckstrin homology domain-containing family G member 3	PLEKHG3	>sp|A1L390|PKHG3_HUMAN Pleckstrin homology domain-containing family G member 3 OS=Homo sapiens GN=PLEKHG3 PE=1 SV=1	1	6	6	6	4.6	4.6	4.6	134.41	1219	1219	12.3							2					1		1		1		1	0	11.949	14936	12065	13466	14956	14936	12065	13466	14956	2	2	2	2	131540000	6				6	11512;18012;28265;30732;34648;34649	True;True;True;True;True;True	12024;18824;29737;32303;36431;36432	18464;29441;45748;49534;55854;55855	18969;30259;46897;50750;57284;57285	18969;30259;46897;50750;57284;57285		
A2A2Y4	A2A2Y4	1	1	1	FERM domain-containing protein 3	FRMD3	>sp|A2A2Y4|FRMD3_HUMAN FERM domain-containing protein 3 OS=Homo sapiens GN=FRMD3 PE=2 SV=1	1	1	1	1	2.5	2.5	2.5	68.771	597	597	9									1										0.005863	1.6693	11600	15957	15050	16822	11600	15957	15050	16822	1	1	1	1	656360000	1				7	17287	True	18071	28319	29122	29122		
A2A3N6	A2A3N6	5	1	0	Putative PIP5K1A and PSMD4-like protein	PIPSL	>sp|A2A3N6|PIPSL_HUMAN Putative PIP5K1A and PSMD4-like protein OS=Homo sapiens GN=PIPSL PE=5 SV=1	1	5	1	0	6	1.7	0	95.047	862	862	6						1													0	20.18	14064	11709	10980	9745.1	14064	11709	10980	9745.1	1	1	1	1	18441000	1				8	2328;7725;20656;22921;37095	True;False;False;False;False	2420;8067;21561;23917;39017	3771;12464;33512;33513;33514;33515;36974;36975;59956	3891;12828;34401;34402;34403;34404;37947;37948;61530	3891;12828;34402;37948;61530		
A2RRP1	A2RRP1	2	2	2	Neuroblastoma-amplified sequence	NBAS	>sp|A2RRP1|NBAS_HUMAN Neuroblastoma-amplified sequence OS=Homo sapiens GN=NBAS PE=1 SV=2	1	2	2	2	1	1	1	268.57	2371	2371	9									2										0	15.707	17639	12654	12736	14361	17639	12654	12736	14361	1	1	1	1	112550000	2				9	15362;20230	True;True	16049;21113	25075;32812	25763;33690	25763;33690		
A2RTX5	A2RTX5	2	1	1	Probable threonine--tRNA ligase 2, cytoplasmic	TARSL2	>sp|A2RTX5|SYTC2_HUMAN Probable threonine--tRNA ligase 2, cytoplasmic OS=Homo sapiens GN=TARSL2 PE=1 SV=1	1	2	1	1	2.1	1.1	1.1	92.644	802	802	7							1												0.0058597	1.6573	0	0	0	0	0	0	0	0	0	0	0	0	12166000	1				10	1518;9493	False;True	1580;9915	2505;15219	2596;15623	2596;15623		
A2VDF0	A2VDF0	1	1	1	Fucose mutarotase	FUOM	>sp|A2VDF0|FUCM_HUMAN Fucose mutarotase OS=Homo sapiens GN=FUOM PE=1 SV=2	1	1	1	1	10.4	10.4	10.4	16.765	154	154	3			1																0	6.4493	1211.4	1344.7	945.87	801.23	1211.4	1344.7	945.87	801.23	1	1	1	1	4309900	1				11	13673	True	14276	21970	22558	22558		
A3KMH1	A3KMH1	14	14	14	von Willebrand factor A domain-containing protein 8	VWA8	>sp|A3KMH1|VWA8_HUMAN von Willebrand factor A domain-containing protein 8 OS=Homo sapiens GN=VWA8 PE=1 SV=2	1	14	14	14	7.9	7.9	7.9	214.82	1905	1905	11.2	1	1			1	1	1		2	2				1		4	1	2	0	48.814	76341	54978	50755	57850	76341	54978	50755	57850	11	11	11	11	991890000	17				12	4702;5318;7445;8479;9345;9424;23183;23331;25763;26364;26415;28875;33779;36993	True;True;True;True;True;True;True;True;True;True;True;True;True;True	4918;5551;7774;8860;9758;9841;24187;24340;27113;27750;27808;30364;35508;38911	7557;7558;8511;12024;13649;14984;15102;37381;37610;41891;42883;42973;42974;46676;54490;59792;59793	7776;7777;8744;12367;14036;15385;15504;38359;38591;42980;44001;44092;44093;47838;55897;61352;61353	7777;8744;12367;14036;15385;15504;38359;38591;42980;44001;44092;47838;55897;61353		
A3KN83	A3KN83	16	16	15	Protein strawberry notch homolog 1	SBNO1	>sp|A3KN83|SBNO1_HUMAN Protein strawberry notch homolog 1 OS=Homo sapiens GN=SBNO1 PE=1 SV=1	1	16	16	15	14.8	14.8	14.3	154.31	1393	1393	11.4	1	1	1		1	1		1		2	1	1			3		4	2	0	135.04	76712	79172	80580	92497	76712	79172	80580	92497	12	12	12	12	870020000	19				13	5303;6993;9586;10705;13644;24835;24850;25322;25488;27232;30048;30595;31399;33220;33696;37936	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	5535;7302;10011;11181;14246;26140;26157;26648;26823;28661;31582;32159;33012;34919;35424;39892	8491;11268;11269;15381;17172;21929;40392;40421;41176;41446;44239;44240;48451;49312;50623;53518;53519;54373;61315	8724;11574;11575;15797;17642;22516;41436;41466;42244;42517;45373;45374;49637;50516;51900;54889;54890;55777;62939	8724;11574;15797;17642;22516;41436;41466;42244;42517;45373;49637;50516;51900;54889;55777;62939		
A4D1E9	A4D1E9	7	7	7	GTP-binding protein 10	GTPBP10	>sp|A4D1E9|GTPBA_HUMAN GTP-binding protein 10 OS=Homo sapiens GN=GTPBP10 PE=1 SV=1	1	7	7	7	22	22	22	42.932	387	387	12.6				1							2			1	1	1	1		0	72.154	52099	34109	34770	40564	52099	34109	34770	40564	6	6	6	6	433730000	7				14	4565;15690;16257;20344;27451;30909;32563	True;True;True;True;True;True;True	4774;16393;16993;21235;28887;32485;34226	7346;25650;26626;32996;44563;49812;52412	7561;26365;27382;33877;45700;51054;53756	7561;26365;27382;33877;45700;51054;53756		
A4D1P6	A4D1P6	2	2	2	WD repeat-containing protein 91	WDR91	>sp|A4D1P6|WDR91_HUMAN WD repeat-containing protein 91 OS=Homo sapiens GN=WDR91 PE=1 SV=2	1	2	2	2	2.1	2.1	2.1	83.343	747	747	7.5							1	1											0.00078263	2.5745	0	0	0	0	0	0	0	0	0	0	0	0	50020000	2				15	21523;23147	True;True	22452;24150	34857;37324	35792;38301	35792;38301		
